Tag,Datum,Zeit,Home,Away,Resultat,Drittel,OT/SO,Status,Versch.,Stadion,Zus.,TV/Online,Id,Liga,Region,Phase,SVS_Home,SVS_Away,
Fr,30/01/2026,19:45:00,EHC Biel-Bienne,ZSC Lions,01:05, 1:1|0:2|0:2,,Ende,FALSE,"Tissot Arena, 2504 Biel/Bienne BE",6382,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
Fr,30/01/2026,19:45:00,HC Davos,SC Bern,02:01, 0:0|2:1|0:0,,Ende,FALSE,"zondacrypto-Arena, 7270 Davos-Platz GR",6547,"MYSPORTS,TV24,3PLUS",2.02611E+13,NL,CH,Regular Season,90,91,
Fr,30/01/2026,19:45:00,Fribourg-Gottéron,EHC Kloten,03:02, 1:0|0:1|1:1|1:0,OT,Ende,FALSE,"BCF Arena, 1700 Fribourg FR",9372,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
Fr,30/01/2026,19:45:00,EV Zug,Lausanne HC,01:04, 0:1|0:1|1:2,,Ende,FALSE,"OYM hall, 6303 Zug",7371,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
Fr,30/01/2026,19:50:00,HC Ajoie,SC Rapperswil-Jona Lakers,02:05, 0:2|0:1|2:2,,Ende,FALSE,"Raiffeisen Arena, 2900 Porrentruy JU",4153,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
Sa,31/01/2026,19:45:00,ZSC Lions,EV Zug,02:04, 0:0|0:1|2:3,,Ende,FALSE,"Swiss Life Arena, 8048 Zürich ZH",12000,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
Sa,31/01/2026,19:45:00,HC Lugano,Genève-Servette HC,05:01, 1:0|0:1|4:0,,Ende,FALSE,"Cornèr Arena, 6948 Porza Ti",5602,"MYSPORTS,LEMANBLEU,LATELE,TELEB",2.02611E+13,NL,CH,Regular Season,90,91,
Sa,31/01/2026,19:45:00,SCL Tigers,HC Ambri-Piotta,06:03, 0:0|2:1|4:2,,Ende,FALSE,"emmental versicherung arena , 3550 Langnau i. E. BE",6000,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
So,01/02/2026,14:00:00,SC Bern,HC Ajoie,05:00, 1:0|2:0|2:0,,Ende,FALSE,"PostFinance Arena, 3014 Bern BE",17031,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
So,01/02/2026,14:00:00,EHC Kloten,EHC Biel-Bienne,03:02, 0:0|0:1|2:1|1:0,OT,Ende,FALSE,"SWISS Arena, 8302 Kloten ZH",6189,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
So,01/02/2026,15:45:00,HC Davos,Fribourg-Gottéron,05:02, 2:1|1:0|2:1,,Ende,FALSE,"zondacrypto-Arena, 7270 Davos-Platz GR",6547,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
Di,24/02/2026,19:45:00,HC Ambri-Piotta,Lausanne HC,03:02, 0:2|2:0|0:0|1:0,OT,Ende,FALSE,"Gottardo Arena, 6775 Ambri TI",6093,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
Di,24/02/2026,19:45:00,SC Bern,EHC Kloten,01:02, 1:0|0:0|0:1|0:1,OT,Ende,FALSE,"PostFinance Arena, 3014 Bern BE",14789,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
Di,24/02/2026,19:45:00,HC Davos,SCL Tigers,04:03, 1:0|1:3|2:0,,Ende,FALSE,"zondacrypto-Arena, 7270 Davos-Platz GR",6130,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
Di,24/02/2026,19:45:00,HC Lugano,EHC Biel-Bienne,03:04, 2:1|0:2|1:0|0:1,SO,Ende,FALSE,"Cornèr Arena, 6948 Porza Ti",4922,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
Di,24/02/2026,19:45:00,SC Rapperswil-Jona Lakers,Genève-Servette HC,04:01, 1:1|1:0|2:0,,Ende,FALSE,"St.Galler Kantonalbank Arena, 8640 Rapperswil SG",4086,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
Di,24/02/2026,19:45:00,ZSC Lions,HC Ajoie,02:01, 1:0|1:1|0:0,,Ende,FALSE,"Swiss Life Arena, 8048 Zürich ZH",11263,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
Di,24/02/2026,19:45:00,EV Zug,Fribourg-Gottéron,01:03, 0:1|1:0|0:2,,Ende,FALSE,"OYM hall, 6303 Zug",7194,"MYSPORTS,TV24,3PLUS",2.02611E+13,NL,CH,Regular Season,90,91,
Fr,27/02/2026,19:45:00,HC Ajoie,HC Lugano,00:01, 0:0|0:1|0:0,,Ende,FALSE,"Raiffeisen Arena, 2900 Porrentruy JU",4235,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
Fr,27/02/2026,19:45:00,HC Ambri-Piotta,HC Davos,02:05, 1:1|0:2|1:2,,Ende,FALSE,"Gottardo Arena, 6775 Ambri TI",6765,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
