Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;Status;Versch.;Stadion;Zus.;TV/Online;Id;Liga;Region;Phase
Fr;02.01.2026;15:45;Lausanne HC;EV Zug; 7:0; 0:0|6:0|1:0;;Ende;False;Vaudoise Aréna, 1008 Lausanne VD;9600;MYSPORTS;20261105000245;NL;CH;Regular Season
Fr;02.01.2026;19:45;HC Ambri-Piotta;SCL Tigers; 0:3; 0:1|0:0|0:2;;Ende;False;Gottardo Arena, 6775 Ambri TI;6447;MYSPORTS;20261105000240;NL;CH;Regular Season
Fr;02.01.2026;19:45;EHC Biel-Bienne;HC Lugano; 3:1; 1:1|1:0|1:0;;Ende;False;Tissot Arena, 2504 Biel/Bienne BE;6556;MYSPORTS;20261105000241;NL;CH;Regular Season
Fr;02.01.2026;19:45;EHC Kloten;HC Davos; 4:1; 0:0|2:1|2:0;;Ende;False;SWISS Arena, 8302 Kloten ZH;7161;MYSPORTS,TV24,3PLUS;20261105000244;NL;CH;Regular Season
Sa;03.01.2026;19:45;SC Bern;Genève-Servette HC; 0:3; 0:0|0:2|0:1;;Ende;False;PostFinance Arena, 3014 Bern BE;17001;MYSPORTS;20261105000246;NL;CH;Regular Season
Sa;03.01.2026;19:45;HC Davos;HC Ambri-Piotta; 7:3; 1:0|2:1|4:2;;Ende;False;zondacrypto-Arena, 7270 Davos-Platz GR;6547;MYSPORTS,TELETICINO,TV24,3PLUS;20261105000247;NL;CH;Regular Season
Sa;03.01.2026;19:45;HC Lugano;Fribourg-Gottéron; 3:2; 2:1|1:1|0:0;;Ende;False;Cornèr Arena, 6948 Porza Ti;6422;MYSPORTS;20261105000248;NL;CH;Regular Season
Sa;03.01.2026;19:45;SC Rapperswil-Jona Lakers;HC Ajoie; 2:1; 1:1|0:0|0:0|1:0;OT;Ende;False;St.Galler Kantonalbank Arena, 8640 Rapperswil SG;5026;MYSPORTS;20261105000249;NL;CH;Regular Season
Sa;03.01.2026;19:45;SCL Tigers;EHC Biel-Bienne; 4:0; 2:0|1:0|1:0;;Ende;False;emmental versicherung arena , 3550 Langnau i. E. BE;6000;MYSPORTS;20261105000250;NL;CH;Regular Season
Sa;03.01.2026;19:45;ZSC Lions;Lausanne HC; 3:2; 1:1|1:1|1:0;;Ende;False;Swiss Life Arena, 8048 Zürich ZH;12000;MYSPORTS;20261105000251;NL;CH;Regular Season
Sa;03.01.2026;19:45;EV Zug;EHC Kloten; 1:2; 0:0|1:1|0:0|0:1;OT;Ende;False;OYM hall, 6303 Zug;7450;MYSPORTS;20261105000252;NL;CH;Regular Season
Di;06.01.2026;19:45;HC Ajoie;ZSC Lions; 3:5; 0:4|2:0|1:1;;Ende;False;Raiffeisen Arena, 2900 Porrentruy JU;3551;MYSPORTS;20261105000253;NL;CH;Regular Season
Di;06.01.2026;19:45;HC Ambri-Piotta;EV Zug; 4:0; 0:0|1:0|3:0;;Ende;False;Gottardo Arena, 6775 Ambri TI;6185;MYSPORTS;20261105000254;NL;CH;Regular Season
Di;06.01.2026;19:45;EHC Biel-Bienne;HC Davos; 4:3; 0:1|1:0|2:2|1:0;SO;Ende;False;Tissot Arena, 2504 Biel/Bienne BE;5844;MYSPORTS;20261105000255;NL;CH;Regular Season
Di;06.01.2026;19:45;Fribourg-Gottéron;SCL Tigers; 4:3; 0:1|1:0|2:2|1:0;SO;Ende;False;BCF Arena, 1700 Fribourg FR;9372;MYSPORTS;20261105000256;NL;CH;Regular Season
Di;06.01.2026;19:45;Genève-Servette HC;SC Rapperswil-Jona Lakers; 3:1; 0:0|0:0|3:1;;Ende;False;Les Vernets, 1227 Les Acacias GE;5513;MYSPORTS;20261105000257;NL;CH;Regular Season
Di;06.01.2026;19:45;EHC Kloten;SC Bern; 2:3; 0:1|1:2|1:0;;Ende;False;SWISS Arena, 8302 Kloten ZH;4218;MYSPORTS,TV24,3PLUS;20261105000258;NL;CH;Regular Season
Mi;07.01.2026;19:45;Lausanne HC;HC Lugano; 2:5; 0:0|1:2|1:3;;Ende;False;Vaudoise Aréna, 1008 Lausanne VD;9246;MYSPORTS;20261105000259;NL;CH;Regular Season
Do;08.01.2026;19:45;Fribourg-Gottéron;EV Zug; 3:2; 0:1|1:1|1:0|1:0;SO;Ende;False;BCF Arena, 1700 Fribourg FR;9372;MYSPORTS;20261105000263;NL;CH;Regular Season
Do;08.01.2026;19:45;Genève-Servette HC;HC Lugano; 2:1; 0:0|0:1|1:0|1:0;OT;Ende;False;Les Vernets, 1227 Les Acacias GE;6023;MYSPORTS;20261105000264;NL;CH;Regular Season
Do;08.01.2026;20:00;SC Rapperswil-Jona Lakers;SCL Tigers; 2:1; 0:1|0:0|2:0;;Ende;False;St.Galler Kantonalbank Arena, 8640 Rapperswil SG;4291;MYSPORTS,TV24,3PLUS;20261105000265;NL;CH;Regular Season
Fr;09.01.2026;19:45;HC Ajoie;EHC Biel-Bienne; 1:2; 0:0|1:2|0:0;;Ende;False;Raiffeisen Arena, 2900 Porrentruy JU;5021;MYSPORTS;20261105000260;NL;CH;Regular Season
Fr;09.01.2026;19:45;SC Bern;HC Ambri-Piotta; 0:1; 0:0|0:0|0:0|0:1;SO;Ende;False;PostFinance Arena, 3014 Bern BE;15087;MYSPORTS;20261105000261;NL;CH;Regular Season
Fr;09.01.2026;19:45;HC Davos;Lausanne HC; 5:1; 1:0|1:0|3:1;;Ende;False;zondacrypto-Arena, 7270 Davos-Platz GR;6547;MYSPORTS;20261105000262;NL;CH;Regular Season
Sa;10.01.2026;19:45;HC Ambri-Piotta;SC Rapperswil-Jona Lakers; 4:3; 1:1|1:2|1:0|1:0;OT;Ende;False;Gottardo Arena, 6775 Ambri TI;6553;MYSPORTS;20261105000267;NL;CH;Regular Season
Sa;10.01.2026;19:45;EHC Biel-Bienne;SC Bern; 1:2; 0:1|0:1|1:0;;Ende;False;Tissot Arena, 2504 Biel/Bienne BE;6556;MYSPORTS;20261105000268;NL;CH;Regular Season
Sa;10.01.2026;19:45;EHC Kloten;Genève-Servette HC; 1:3; 0:1|1:1|0:1;;Ende;False;SWISS Arena, 8302 Kloten ZH;4441;MYSPORTS;20261105000269;NL;CH;Regular Season
Sa;10.01.2026;19:45;Lausanne HC;Fribourg-Gottéron; 0:4; 0:1|0:0|0:3;;Ende;False;Vaudoise Aréna, 1008 Lausanne VD;9600;MYSPORTS,LEMANBLEU,LATELE,TELEB;20261105000271;NL;CH;Regular Season
Sa;10.01.2026;19:45;SCL Tigers;HC Davos; 3:1; 1:0|1:1|1:0;;Ende;False;emmental versicherung arena , 3550 Langnau i. E. BE;6000;MYSPORTS;20261105000272;NL;CH;Regular Season
Sa;10.01.2026;19:45;EV Zug;ZSC Lions; 2:3; 1:1|0:0|1:1|0:1;OT;Ende;False;OYM hall, 6303 Zug;7450;MYSPORTS,TV24,3PLUS;20261105000273;NL;CH;Regular Season
So;11.01.2026;19:45;ZSC Lions;EHC Kloten; 1:0; 0:0|0:0|1:0;;Ende;False;Swiss Life Arena, 8048 Zürich ZH;12000;MYSPORTS;20261105000266;NL;CH;Regular Season
Mi;14.01.2026;19:45;HC Ajoie;SCL Tigers; 2:1; 0:1|1:0|0:0|1:0;SO;Ende;False;Raiffeisen Arena, 2900 Porrentruy JU;3496;MYSPORTS;20261105000183;NL;CH;Regular Season
